text_type,text,label,proc_text
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,1,hello hows saturday go wa texting see youd decided anything tomo im trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,1,pls go ahead watt wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",1,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,0,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,WHO ARE YOU SEEING?,1,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,1,great hope like man well endowed ltgt inch
ham,No calls..messages..missed calls,1,callsmessagesmissed call
ham,Didn't you get hep b immunisation in nigeria.,1,didnt get hep b immunisation nigeria
ham,"Fair enough, anything going on?",1,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",1,yeah hopefully tyler cant could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,1,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,1,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",1,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,1,k fyi x ha ride early tomorrow morning crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",1,wow never realized embarassed accomodations thought liked since wa best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room wa embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,0,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,1,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",0,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
ham,"Sorry, I'll call later in meeting.",1,sorry ill call later meeting
ham,Tell where you reached,1,tell reached
ham,Yes..gauti and sehwag out of odi series.,1,yesgauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,1,gon na pick 1 burger way home cant even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,1,ha ha ha good joke girl situation seeker
ham,Its a part of checking IQ,1,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",1,sorry roommate took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,1,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ??1500 Bonus Prize, call 09066364589",0,valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",1,today song dedicated day song u dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ??1000. To claim txt DIS to 87121 18+6*??1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",0,urgent ur awarded complimentary trip eurodisinc trav acoentry41 1000 claim txt dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",0,hear new divorce barbie come ken stuff
ham,I plane to give on this month end.,1,plane give month end
ham,Wah lucky man... Then can save money... Hee...,1,wah lucky man save money hee
ham,Finished class where are you.,1,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,1,hi babe im home wan na something xx
ham,K..k:)where are you?how did you performed?,1,kkwhere youhow performed
ham,U can call me now...,1,u call
ham,I am waiting machan. Call me once you free.,1,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,1,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,1,like people much shy pa
ham,Does not operate after  &lt;#&gt;  or what,1,doe operate ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,1,still looking job much ta earn
ham,"Sorry, I'll call later",1,sorry ill call later
ham,K. Did you call me just now ah? ,1,k call ah
ham,Ok i am on the way to home hi hi,1,ok way home hi hi
ham,You will be in the place of that man,1,place man
ham,Yup next stop.,1,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",1,call later dont network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,1,real u getting yo need 2 ticket one jacket im done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,1,yes started send request make pain came back im back bed double coin factory got ta cash nitros
ham,I'm really not up to it still tonight babe,1,im really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",1,ela kanoil download come wen ur free
ham,Yeah do! Don???t stand to close tho- you???ll catch something!,1,yeah dont stand close tho youll catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,1,sorry pain ok meet another night spent late afternoon casualty mean havent done stuff42moro includes time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,1,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ??1000 cash or ??5000 prize!,0,please call customer service representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,1,havent planning buy later check already lido got 530 show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",0,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
ham,Watching telugu movie..wat abt u?,1,watching telugu moviewat abt u
ham,i see. When we finish we have loads of loans to pay,1,see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",1,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand doe cause prob u ham
ham,Please don't text me anymore. I have nothing else to say.,1,please dont text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,1,okay name ur price long legal wen pick u ave x xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,1,im still looking car buy gone 4the driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1,per request melle melle oru minnaminunginte nurungu vettam ha set callertune caller press 9 copy friend callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",1,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,1,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,1,thanks lot wish birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",1,aight ill hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,1,would ip address test considering computer isnt minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,1,know grumpy old people mom wa like better lying always one play joke
ham,Dont worry. I guess he's busy.,1,dont worry guess busy
ham,What is the plural of the noun research?,1,plural noun research
ham,Going for dinner.msg you after.,1,going dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,1,im ok wif co like 2 try new thing scared u dun like mah co u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a ??1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0,gent trying contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",1,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",1,entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive ??1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,0,winner u specially selected 2 receive 1000 4 holiday flight inc speak live operator 2 claim 0871277810910pmin 18
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,1,goodo yes must speak friday eggpotato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,1,hmmmy uncle informed paying school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,0,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
spam,"URGENT! Your Mobile No. was awarded ??2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",0,urgent mobile wa awarded 2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
ham,here is my new address -apples&pairs&all that malarky,1,new address applespairsall malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,0,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,1,going sao mu today done 12
ham,?? predict wat time ?_'ll finish buying?,1,predict wat time finish buying
ham,"Good stuff, will do.",1,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",1,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
ham,Are you there in room.,1,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,1,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,1,kkhow much doe cost
ham,I'm home.,1,im home
ham,"Dear, will call Tmorrow.pls accomodate.",1,dear call tmorrowpls accomodate
ham,First answer my question.,1,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ??1.50 SP:Tyrone,0,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 150 sptyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,0,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p
ham,I only haf msn. It's yijue@hotmail.com,1,haf msn yijuehotmailcom
ham,He is there. You call and meet him,1,call meet
ham,No no. I will check all rooms befor activities,1,check room befor activity
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,0,youll rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try
ham,Got c... I lazy to type... I forgot ?_ in lect... I saw a pouch but like not v nice...,1,got c lazy type forgot lect saw pouch like v nice
ham,"K, text me when you're on the way",1,k text youre way
ham,"Sir, Waiting for your mail.",1,sir waiting mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",1,swt thought nver get tired little thing 4 lovable person cozsomtimes little thing occupy biggest part heart gud ni8
ham,I know you are. Can you pls open the back?,1,know pls open back
ham,Yes see ya not on the dot,1,yes see ya dot
ham,Whats the staff name who is taking class for us?,1,whats staff name taking class u
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",0,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,1,ummmawill call check inour life begin qatar pls pray hard
ham,K..i deleted my contact that why?,1,ki deleted contact
ham,Sindu got job in birla soft ..,1,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,1,wine flowing im nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,1,yup thk cine better co need 2 go 2 plaza mah
ham,Ok... Ur typical reply...,1,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,1,per request melle melle oru minnaminunginte nurungu vettam ha set callertune caller press 9 copy friend callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",1,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one
ham,Aaooooright are you at work?,1,aaooooright work
ham,I'm leaving my house now...,1,im leaving house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",1,hello love get interview today happy good boy think meare missing
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery
spam,You are a winner U have been specially selected 2 receive ??1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,0,winner u specially selected 2 receive 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,1,keep safe need miss already envy everyone see real life
ham,New car and house for my parents.:)i have only new job in hand:),1,new car house parentsi new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,1,im love im excited day spend make happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,0,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",0,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
ham,I place all ur points on e cultures module already.,1,place ur point e culture module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a ??900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,0,urgent trying contact last weekend draw show 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",1,hi frnd best way avoid missunderstding wit beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,1,great escape fancy bridge need lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,1,yes completely formclark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",1,sir need axis bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",1,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao
ham,What time you coming down later? ,1,time coming later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",1,bloody hell cant believe forgot surname mr ill give u clue spanish begin
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",1,well im gon na finish bath goodfine night
ham,Let me know when you've got the money so carlos can make the call,1,let know youve got money carlos make call
ham,U still going to the mall?,1,u still going mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",1,turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,1,text doesnt reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,1,hi spoke maneesha v wed like know satisfied experience reply toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,1,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend
ham,Lol no. U can trust me.,1,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,1,ok gentleman treat dignity respect
ham,"He will, you guys close?",1,guy close
ham,Going on nothing great.bye,1,going nothing greatbye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,1,hello handsome finding job lazy working towards getting back net mummy wheres boytoy doe miss
ham,"Haha awesome, be there in a minute",1,haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ??1000 cash or ??5000 prize!,0,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed 1000 cash 5000 prize
ham,Have you got Xmas radio times. If not i will get it now,1,got xmas radio time get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,1,jus reached home go bathe first si using net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,0,unique enough find 30th august wwwareyouuniquecouk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,1,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week
ham,Hi :)finally i completed the course:),1,hi finally completed course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,1,stop however suggest stay someone able give every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,1,hope youve settled new school year wishin gr8 day
ham,Gud mrng dear hav a nice day,1,gud mrng dear hav nice day
ham,Did u got that persons story,1,u got person story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,1,hamster dead hey tmr meet 1pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,1,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",1,found enc ltgt
ham,I sent you  &lt;#&gt;  bucks,1,sent ltgt buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,1,hello darlin ive finished college txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,1,account ha refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt
ham,Goodmorning sleeping ga.,1,goodmorning sleeping ga
ham,U call me alter at 11 ok.,1,u call alter 11 ok
ham,?? say until like dat i dun buy ericsson oso cannot oredi lar...,1,say like dat dun buy ericsson oso oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",1,entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went
ham,"Aight yo, dats straight dogg",1,aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,1,please give u connection today ltdecimalgt refund bill
ham,Both :) i shoot big loads so get ready!,1,shoot big load get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",1,whats bruv hope great break rewarding semester
ham,Home so we can always chat,1,home always chat
ham,K:)k:)good:)study well.,1,kkgoodstudy well
ham,Yup... How ?_ noe leh...,1,yup noe leh
ham,Sounds great! Are you home now?,1,sound great home
ham,Finally the match heading towards draw as your prediction.,1,finally match heading towards draw prediction
ham,Tired. I haven't slept well the past few nights.,1,tired havent slept well past night
ham,Easy ah?sen got selected means its good..,1,easy ahsen got selected mean good
ham,I have to take exam with march 3,1,take exam march 3
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,1,yeah think use gt atm register sure anyway help let know sure ready
ham,Ok no prob. Take ur time.,1,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,1,called ubandu run without installing hard diskyou use copy important file system give repair shop
ham,"Sorry, I'll call later",1,sorry ill call later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,1,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ??1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",0,500 new mobile 2004 must go txt nokia 89545 collect todayfrom 1 www4tcbiz 2optout 08718726270150gbpmtmsg18
ham,Would really appreciate if you call me. Just need someone to talk to.,1,would really appreciate call need someone talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries
